Step V Dens T P KE PE U H
1200 192359.834653176 1.03606806307377 285.801884418642 1288.12643681206 6814.51711394283 8238.47185181328 15052.9889657561 18666.661359927
1250 192359.834653176 1.03606806307377 285.418357854457 -114.112723830354 6805.37249846695 8159.40512707956 14964.7776255465 14644.6491132011
1300 192359.834653176 1.03606806307377 277.756714916602 1013.34932981035 6622.69211821985 8301.30526266087 14923.9973808807 17766.8180808812
1350 192359.834653176 1.03606806307377 269.368033557201 -136.340115596859 6422.67659766676 8524.23810565742 14946.9147033242 14564.4301134032
1400 192359.834653176 1.03606806307377 264.657257033448 -452.783410830287 6310.35519955432 8726.67077791617 15037.0259774705 13766.8005822792
1450 192359.834653176 1.03606806307377 278.01750459232 597.269112163156 6628.91025674591 8543.75048089889 15172.6607376448 16848.2221117724
1500 192359.834653176 1.03606806307377 257.667567847627 227.513407893294 6143.69654831832 9177.36651365826 15321.0630619766 15959.3225510392
1550 192359.834653176 1.03606806307377 285.524902964309 -436.474614505622 6807.91290675002 8631.13596346221 15439.0488702122 14214.5756973
1600 192359.834653176 1.03606806307377 286.682791876913 482.245853565637 6835.52103056288 8652.08681115901 15487.6078417219 16840.4863157841
1650 192359.834653176 1.03606806307377 274.92469795657 336.819260360131 6555.16692299461 8905.47324308832 15460.6401660829 16405.5431105491
1700 192359.834653176 1.03606806307377 289.660093749716 538.76979301207 6906.51032654624 8477.9683287829 15384.4786553291 16895.927743075
1750 192359.834653176 1.03606806307377 269.964110757403 685.716124574503 6436.88916414534 8853.93639981196 15290.8255639573 17214.5136110292
1800 192359.834653176 1.03606806307377 278.773559413339 561.461129185971 6646.93724956085 8561.38821638743 15208.3254659483 16783.4321673997
1850 192359.834653176 1.03606806307377 276.150438747394 -81.4481322668273 6584.392873038 8558.53585372401 15142.928726762 14914.43650836
1900 192359.834653176 1.03606806307377 261.516397523688 -370.95591308754 6235.46611712127 8888.94488278036 15124.4109999016 14083.7420839709
1950 192359.834653176 1.03606806307377 281.826146479417 459.313189540101 6719.72160801917 8449.68674316102 15169.4083511802 16457.9521974096
2000 192359.834653176 1.03606806307377 266.360870036145 -426.275679367178 6350.97529548555 8910.42488133477 15261.4001768203 14065.5387995413
2050 192359.834653176 1.03606806307377 267.4098592828 -226.28307944598 6375.98687015802 9007.74474453184 15383.7316146899 14748.9236532248
2100 192359.834653176 1.03606806307377 289.901368337211 191.919945670081 6912.26315707424 8586.23037752243 15498.4935345967 16036.9001612592
