# Chunk-averaged data for fix tprof and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
1250 20 9999.999999999998
  1 0.025 251.3 281.216
  2 0.075 503.7 276.246
  3 0.125 510.7 270.996
  4 0.175 564.5 278.118
  5 0.225 574.5 266.139
  6 0.275 577.2 279.185
  7 0.325 567 279.628
  8 0.375 561 247.916
  9 0.425 520.7 269.625
  10 0.475 524.8 262.074
  11 0.525 481 283.251
  12 0.575 550 263.522
  13 0.625 535 280.151
  14 0.675 557.1 277.187
  15 0.725 586.7 286.052
  16 0.775 520.1 293.757
  17 0.825 538.9 273.284
  18 0.875 527.8 268.032
  19 0.925 363 294.593
  20 0.975 185 276.341
1300 20 9999.999999999998
  1 0.025 256 284.387
  2 0.075 497.9 264.341
  3 0.125 506.3 264.454
  4 0.175 573 271.636
  5 0.225 563.7 268.566
  6 0.275 582.4 269.221
  7 0.325 569.2 271.656
  8 0.375 562 248.174
  9 0.425 514.3 266.888
  10 0.475 527.6 258.109
  11 0.525 487.8 276.179
  12 0.575 540 261.947
  13 0.625 541.3 269.849
  14 0.675 557.4 270.159
  15 0.725 588.9 274.902
  16 0.775 514.5 285.555
  17 0.825 535.4 262.937
  18 0.875 527.9 261.034
  19 0.925 357.3 288.029
  20 0.975 197.1 275.511
1350 20 10000
  1 0.025 256.4 285.66
  2 0.075 493.8 264.31
  3 0.125 503.8 272.699
  4 0.175 573.4 270.35
  5 0.225 558.1 260.967
  6 0.275 593.3 264.827
  7 0.325 559 268.422
  8 0.375 568.7 249.546
  9 0.425 510.6 258.628
  10 0.475 529 255.298
  11 0.525 490.4 273.211
  12 0.575 534.9 261.727
  13 0.625 547.4 261.578
  14 0.675 563.5 281.193
  15 0.725 584.7 273.775
  16 0.775 508.4 283.008
  17 0.825 533.7 265.596
  18 0.875 528.4 256.969
  19 0.925 358.4 282.338
  20 0.975 204.1 282.504
1400 20 10000.000000000004
  1 0.025 258.9 289.893
  2 0.075 491.6 273.213
  3 0.125 504.3 271.319
  4 0.175 570.8 275.872
  5 0.225 549.8 262.841
  6 0.275 597.8 264.989
  7 0.325 552.3 275.19
  8 0.375 576.9 252.042
  9 0.425 512 260.597
  10 0.475 524.3 257.201
  11 0.525 498.9 271.878
  12 0.575 531.3 264.724
  13 0.625 553.3 265.655
  14 0.675 565.7 288.46
  15 0.725 580.6 272.01
  16 0.775 505.2 285.008
  17 0.825 538.2 268.658
  18 0.875 521.7 260.679
  19 0.925 361.7 285.74
  20 0.975 204.7 289.39
1450 20 10000
  1 0.025 267.9 293.265
  2 0.075 483.8 270.209
  3 0.125 508.5 275.238
  4 0.175 566.6 272.985
  5 0.225 542.9 261.454
  6 0.275 600 268.834
  7 0.325 547.6 273.731
  8 0.375 582.4 259.87
  9 0.425 506.3 256.202
  10 0.475 530.5 256.162
  11 0.525 497.9 278.085
  12 0.575 521.3 264.641
  13 0.625 569.7 269.49
  14 0.675 560.9 293.783
  15 0.725 584.5 278.753
  16 0.775 503.6 280.337
  17 0.825 540.2 269.69
  18 0.875 511.4 263.532
  19 0.925 363 287.762
  20 0.975 211 287.422
1500 20 9999.999999999998
  1 0.025 273.7 285.729
  2 0.075 478.4 271.696
  3 0.125 500 266.724
  4 0.175 581 273.326
  5 0.225 533.7 257.377
  6 0.275 597.2 275.722
  7 0.325 547 270.023
  8 0.375 588.1 253.302
  9 0.425 501.8 254.097
  10 0.475 532.6 258.393
  11 0.525 494.7 274.727
  12 0.575 521.7 255.128
  13 0.625 572.9 268.031
  14 0.675 557.8 289.66
  15 0.725 592.4 273.275
  16 0.775 498.5 270.673
  17 0.825 544.3 268.362
  18 0.875 499.4 265.449
  19 0.925 368.3 283.183
  20 0.975 216.5 288.791
1550 20 10000
  1 0.025 283.7 289.022
  2 0.075 468.1 271.57
  3 0.125 494.9 273.596
  4 0.175 586.8 280.122
  5 0.225 538.8 259.993
  6 0.275 582.9 292.686
  7 0.325 557.1 275.172
  8 0.375 594.6 256.435
  9 0.425 495 265.572
  10 0.475 534 256.883
  11 0.525 494.7 283.886
  12 0.575 515.5 261.675
  13 0.625 580.6 266.407
  14 0.675 551.5 299.648
  15 0.725 598 282.875
  16 0.775 497.9 279.188
  17 0.825 545 272.494
  18 0.875 498.4 269.712
  19 0.925 366.9 285.791
  20 0.975 215.6 289.795
1600 20 10000
  1 0.025 291.9 282.952
  2 0.075 461.9 271.851
  3 0.125 489.7 279.845
  4 0.175 594.3 281.373
  5 0.225 536.9 265.086
  6 0.275 576.8 293.806
  7 0.325 563.5 287.537
  8 0.375 593.8 261.915
  9 0.425 492.2 269.672
  10 0.475 535.3 262.279
  11 0.525 492.8 283.36
  12 0.575 518.6 268.424
  13 0.625 576 270.429
  14 0.675 563.5 301.538
  15 0.725 591.4 282.488
  16 0.775 498.9 283.952
  17 0.825 543.9 269.011
  18 0.875 498.8 279.036
  19 0.925 364.7 292.313
  20 0.975 215.1 295.318
1650 20 10000
  1 0.025 294 280.133
  2 0.075 455 263.655
  3 0.125 489 285.076
  4 0.175 600.8 277.016
  5 0.225 532.7 264.094
  6 0.275 571.8 282.982
  7 0.325 571.4 281.025
  8 0.375 593 259.732
  9 0.425 489 262.917
  10 0.475 534.4 266.338
  11 0.525 496.8 272.816
  12 0.575 523.9 261.573
  13 0.625 569.4 270.557
  14 0.675 562.5 299.845
  15 0.725 595 276.609
  16 0.775 499.3 281.552
  17 0.825 544 274.86
  18 0.875 490 277.072
  19 0.925 368 280.504
  20 0.975 220 303.808
1700 20 10000.000000000002
  1 0.025 294.2 277.498
  2 0.075 450.1 264.154
  3 0.125 491 280.68
  4 0.175 604.8 276.411
  5 0.225 534 264.802
  6 0.275 568.6 280.855
  7 0.325 571.5 278.679
  8 0.375 593.6 251.836
  9 0.425 489.1 256.858
  10 0.475 526.2 268.619
  11 0.525 500.3 270.819
  12 0.575 528.7 258.467
  13 0.625 560.8 265.179
  14 0.675 564.8 296.114
  15 0.725 600.7 275.713
  16 0.775 492.8 282.72
  17 0.825 548.8 272.985
  18 0.875 479.6 279.532
  19 0.925 375.7 280.443
  20 0.975 224.7 301.093
1750 20 9999.999999999998
  1 0.025 295.3 261.58
  2 0.075 453 272.687
  3 0.125 487.8 276.304
  4 0.175 597.3 276.047
  5 0.225 542.3 265.588
  6 0.275 563.2 280.041
  7 0.325 569.6 277.339
  8 0.375 588.8 255.428
  9 0.425 497.6 264.282
  10 0.475 524.8 266.961
  11 0.525 500.6 278.333
  12 0.575 525.2 266.202
  13 0.625 564.9 269.38
  14 0.675 560.2 292.116
  15 0.725 612.3 277.945
  16 0.775 489 287.503
  17 0.825 551 281.125
  18 0.875 469.8 283.306
  19 0.925 380.3 283.41
  20 0.975 227 305.666
1800 20 10000
  1 0.025 311.3 265.751
  2 0.075 453.5 272.566
  3 0.125 488.5 267.598
  4 0.175 577.6 266.02
  5 0.225 549.1 264.083
  6 0.275 562 277.625
