# Chunk-averaged data for fix temp_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
1000 20 10000
  1 0.025 472.11 286.389
  2 0.075 497.84 272.509
  3 0.125 509.78 260.632
  4 0.175 474.79 280.868
  5 0.225 491.31 275.972
  6 0.275 469.1 279.556
  7 0.325 501.92 282.87
  8 0.375 479.88 289.178
  9 0.425 517.58 272.898
  10 0.475 516.59 279.511
  11 0.525 512.04 271.708
  12 0.575 491.93 283.181
  13 0.625 488.89 266.698
  14 0.675 513.16 278.287
  15 0.725 499.57 281.597
  16 0.775 523.58 283.72
  17 0.825 519.5 281.183
  18 0.875 503 271.167
  19 0.925 508.09 275.758
  20 0.975 509.34 269.989
2000 20 10000
  1 0.025 476.68 287.028
  2 0.075 494.25 270.917
  3 0.125 501.4 261.968
  4 0.175 479.55 282.047
  5 0.225 484.77 279.503
  6 0.275 493.95 285.764
  7 0.325 486.58 275.706
  8 0.375 500.58 284.582
  9 0.425 500.3 276.196
  10 0.475 506.54 268.709
  11 0.525 516.89 271.673
  12 0.575 502.54 281.716
  13 0.625 469.74 267.929
  14 0.675 534.53 284.775
  15 0.725 500.91 281.117
  16 0.775 507.35 282.273
  17 0.825 517.84 278.481
  18 0.875 510.41 277.678
  19 0.925 509.67 277.82
  20 0.975 505.52 269.98
3000 20 10000
  1 0.025 489.25 291.676
  2 0.075 489.02 260.019
  3 0.125 496.06 271.727
  4 0.175 505.57 279.984
  5 0.225 462.57 277.967
  6 0.275 492.14 284.864
  7 0.325 492.43 270.984
  8 0.375 491.76 279.518
  9 0.425 498.77 275.557
  10 0.475 521.47 271.979
  11 0.525 499.81 275.49
  12 0.575 503.08 278.384
  13 0.625 486.22 269.182
  14 0.675 527.7 281.348
  15 0.725 508.26 285.619
  16 0.775 502.23 285.182
  17 0.825 506.33 271.994
  18 0.875 517.98 276.265
  19 0.925 487.76 275.662
  20 0.975 521.59 275.417
