# Chunk-averaged data for fix velocity_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount vx
1000 20 10000
  1 0.025 472.48 0.000312902
  2 0.075 497.48 -0.000464084
  3 0.125 509.81 -0.000176419
  4 0.175 474.78 -0.000151704
  5 0.225 491.3 0.000182868
  6 0.275 469.11 5.24179e-05
  7 0.325 501.9 0.000299969
  8 0.375 479.9 -3.18096e-05
  9 0.425 517.62 -0.000229818
  10 0.475 516.62 -0.000514469
  11 0.525 511.98 -4.87346e-05
  12 0.575 491.92 0.000193261
  13 0.625 488.89 8.44923e-05
  14 0.675 513.16 0.000271027
  15 0.725 499.55 0.000116463
  16 0.775 523.6 -2.23345e-05
  17 0.825 519.48 0.000171054
  18 0.875 503.02 0.000135366
  19 0.925 508.06 0.000187542
  20 0.975 509.34 -0.000102369
2000 20 10000.000000000002
  1 0.025 470.69 0.000126332
  2 0.075 498.89 -0.000389975
  3 0.125 499.14 -0.000209233
  4 0.175 480.02 -0.000136648
  5 0.225 484.24 0.000147576
  6 0.275 493.88 -0.000271321
  7 0.325 487.04 0.00039618
  8 0.375 500.66 -0.000153299
  9 0.425 499.77 -0.000306976
  10 0.475 508.74 -0.000157348
  11 0.525 514.35 -2.27243e-05
  12 0.575 501.01 8.37705e-05
  13 0.625 472.3 0.000196624
  14 0.675 534.52 0.000223507
  15 0.725 500.41 -0.000174303
  16 0.775 507.75 8.62947e-05
  17 0.825 517.28 0.000322048
  18 0.875 510.94 5.80669e-05
  19 0.925 509.77 2.77308e-05
  20 0.975 508.6 1.58983e-05
3000 20 10000
  1 0.025 474.18 7.00962e-06
  2 0.075 505.29 -0.00015332
  3 0.125 497.23 -0.00021507
  4 0.175 492.36 -1.46642e-05
  5 0.225 476.06 0.000149566
  6 0.275 488.83 -0.00019263
  7 0.325 493.8 0.000318156
  8 0.375 489.57 -0.000207311
  9 0.425 507.18 -0.000161904
  10 0.475 510.39 -8.19647e-05
  11 0.525 512.15 -0.000143562
  12 0.575 488.33 0.000254068
  13 0.625 498.54 5.62082e-05
  14 0.675 520.58 0.000145966
  15 0.725 517.39 1.32877e-06
  16 0.775 490.26 -6.08608e-05
  17 0.825 511.19 0.000396211
  18 0.875 519.07 2.41866e-05
  19 0.925 500.49 0.000138064
  20 0.975 507.11 -0.000140124
4000 20 10000.000000000002
  1 0.025 493.08 -0.000161521
  2 0.075 492 -9.00485e-05
  3 0.125 511.35 -0.000330321
  4 0.175 500.33 -0.00020709
  5 0.225 479.56 1.90931e-05
  6 0.275 479.06 7.11277e-05
  7 0.325 487.74 8.4246e-05
  8 0.375 474.73 -6.9793e-05
  9 0.425 528.59 0.000118428
  10 0.475 511.3 -0.000229116
  11 0.525 498.67 -9.70665e-05
  12 0.575 486.88 0.000166547
  13 0.625 503.17 9.86107e-05
  14 0.675 525.13 6.37805e-05
  15 0.725 526.8 4.48675e-05
  16 0.775 483.9 0.000199296
  17 0.825 512.14 0.000266616
  18 0.875 504.11 0.000340037
  19 0.925 505.94 -0.000155599
  20 0.975 495.52 -3.79065e-05
